2395.89;287.007;1333.4;11.3147;1076.83;35.1867;1614.96;151.621;1077.52;0;690.729;652.091;808.622;111.77;1481.88;408.101;420.765;895.295;298.778;1891.88;278.755;1537.8;0;409.32;644.754;1012.07;1495.07;750.412;930.839;602.036;1247.03;784.573;1674.94;
471.005;0;379.025;507.01;0;421.657;0;0;277.84;0;14.1023;0;253.273;0;0;35.0098;283.45;97.9845;0;1117.67;0;0;0;0;350.938;0;0;0;20.6716;0;0;0;1215.09;
658.757;0;321.513;0;304.659;0;583.893;0;334.935;0;0;0;0;895.39;194.995;187.025;0;0;743.581;0;106.73;7.99168;0;0;613.207;122.19;0;0;0;429.414;307.71;0;370.35;
0;337.994;246.998;340.107;0;0;0;0;0;0;0;647.233;0;0;0;220.44;0;0;0;0;0;195.11;0;0;0;59.802;598.441;0;337.203;0;341.457;349.653;1476.56;
895.748;0;0;251.063;201.691;0;0;0;163.055;0;542.135;0;0;0;491.817;0;0;0;0;0;0;0;387.402;0;0;404.149;0;184.875;0;867.368;0;120.189;237.215;
113.901;0;1153.34;0;264.681;116.809;0;0;0;0;438.527;250.166;0;0;222.015;690.522;0;289.854;0;671.044;0;157.519;0;0;0;0;0;0;397.143;228.052;0;0;1427.82;
481.068;0;88.141;0;26.5529;0;1130.1;0;0;0;635.457;270.162;0;1038.09;0;0;182.52;19.8217;0;0;0;639.184;0;534.538;0;0;0;83.1509;495.487;89.6424;850.219;231.761;313.024;
678.07;230.257;0;0;0;0;0;0;231.678;0;0;0;0;48.2004;245.772;0;0;0;0;0;76.1411;0;0;0;0;0;0;136.727;0;0;0;286.877;687.293;
901.851;0;0;0;536.764;0;0;882.398;176.918;0;0;0;0;76.6897;0;0;49.517;0;0;0;457.736;0;386.286;783.896;440.275;0;0;0;0;739.144;219.678;705.213;466.692;
664.404;234.985;312.625;0;0;49.4202;0;0;0;0;0;0;193.143;0;0;0;0;358.454;0;169.411;271.985;108.507;0;0;0;395.021;185.179;426.301;0;0;312.719;626.748;216.961;
194.385;337.612;317.341;0;0;0;447.482;119.038;38.4464;0;0;0;263.149;0;0;494.399;610.509;0;653.696;379.699;3.44977;0;813.05;24.7732;197.832;318.944;237.652;265.04;46.5784;211.502;0;196.778;1327.99;
1671.48;400.995;0;443.814;103.242;109.905;0;0;0;1.04588;91.3744;0;0;0;0;0;0;285.334;0;0;106.613;233.594;38.9617;0;221.284;0;0;0;0;799.037;69.6054;154.595;182.97;
0;0;104.063;698.396;0;0;0;0;0;619.654;0;0;0;0;0;0;179.085;0;0;0;174.914;0;0;690.066;0;283.492;0;711.817;56.3007;0;428.427;0;1571.02;
761.283;505.607;0;0;0;0;741.274;499.324;0;0;191.392;231.322;19.1136;0;0;440.588;0;215.906;0;504.301;0;0;184.978;251.262;0;154.526;122.706;758.572;137.501;0;0;1413.7;0;
1002.58;0;365.913;0;0;0;271.398;0;0;380.783;0;0;324.069;0;672.389;0;180.254;456.28;0;0;406.759;47.2436;77.0761;748.954;391.705;0;124.729;0;0;0;237.031;144.932;1243.12;
445.369;359.045;0;663.812;144.101;455.901;218.89;0;230.71;581.955;0;0;0;27.4356;23.6544;109.737;0;68.8244;846.112;0;442.936;471.054;0;0;741.373;0;260.88;0;494.269;0;0;0;1307.8;
909.296;83.7403;284.885;768.807;88.0531;0;1078.13;831.326;108.121;0;769.42;91.494;0;349.903;0;0;0;694.126;0;0;190.915;0;232.871;1207.28;0;269.329;0;271.32;240.201;0;611.218;0;810.477;
