(24) Time for sup6.dat is: 175.929000 seconds.
(4) Time for sup6.dat is: 448.019000 seconds.
(1) Time for sup6.dat is: 1303.797000 seconds.
(16) Time for sup6.dat is: 193.382000 seconds.
(8) Time for sup6.dat is: 270.978000 seconds.
(16) Time for sup6.dat is: 192.769000 seconds.
(8) Time for sup6.dat is: 272.256000 seconds.
(24) Time for sup6.dat is: 178.237000 seconds.
(24) Time for sup6.dat is: 175.492000 seconds.
(4) Time for sup6.dat is: 452.095000 seconds.
(1) Time for sup6.dat is: 1260.483000 seconds.
(16) Time for sup6.dat is: 191.845000 seconds.
(8) Time for sup6.dat is: 274.615000 seconds.
(4) Time for sup6.dat is: 451.687000 seconds.
(1) Time for sup6.dat is: 1286.706000 seconds.
