(24) Time for sup7.dat is: 5986.301000 seconds.
(16) Time for sup7.dat is: 7360.850000 seconds.
(1) Time for sup7.dat is: 55032.560000 seconds.
(8) Time for sup7.dat is: 11507.783000 seconds.
(4) Time for sup7.dat is: 19701.363000 seconds.
(24) Time for sup7.dat is: 5982.858000 seconds.
(16) Time for sup7.dat is: 7316.712000 seconds.
(24) Time for sup7.dat is: 6004.577000 seconds.
(1) Time for sup7.dat is: 54170.463000 seconds.
(4) Time for sup7.dat is: 19709.958000 seconds.
(8) Time for sup7.dat is: 11548.469000 seconds.
(4) Time for sup7.dat is: 19702.693000 seconds.
(1) Time for sup7.dat is: 54162.689000 seconds.
(8) Time for sup7.dat is: 11527.719000 seconds.
(16) Time for sup7.dat is: 7402.787000 seconds.
